date,province,country,lat,long,type,cases,cumu_cases
2020-01-22,NA,China,31.8257,117.2264,confirmed,1,1
2020-01-23,NA,China,31.8257,117.2264,confirmed,8,9
2020-01-24,NA,China,31.8257,117.2264,confirmed,6,15
2020-01-25,NA,China,31.8257,117.2264,confirmed,24,39
2020-01-26,NA,China,31.8257,117.2264,confirmed,21,60
2020-01-27,NA,China,31.8257,117.2264,confirmed,10,70
2020-01-28,NA,China,31.8257,117.2264,confirmed,36,106
2020-01-29,NA,China,31.8257,117.2264,confirmed,46,152
2020-01-30,NA,China,31.8257,117.2264,confirmed,48,200
2020-01-31,NA,China,31.8257,117.2264,confirmed,37,237
2020-02-01,NA,China,31.8257,117.2264,confirmed,60,297
2020-02-02,NA,China,31.8257,117.2264,confirmed,43,340
2020-02-03,NA,China,31.8257,117.2264,confirmed,68,408
2020-02-04,NA,China,31.8257,117.2264,confirmed,72,480
2020-02-05,NA,China,31.8257,117.2264,confirmed,50,530
2020-02-06,NA,China,31.8257,117.2264,confirmed,61,591
2020-02-07,NA,China,31.8257,117.2264,confirmed,74,665
2020-02-08,NA,China,31.8257,117.2264,confirmed,68,733
2020-02-09,NA,China,31.8257,117.2264,confirmed,46,779
2020-02-10,NA,China,31.8257,117.2264,confirmed,51,830
2020-02-11,NA,China,31.8257,117.2264,confirmed,30,860
2020-02-12,NA,China,31.8257,117.2264,confirmed,29,889
2020-02-13,NA,China,31.8257,117.2264,confirmed,21,910
2020-02-14,NA,China,31.8257,117.2264,confirmed,24,934
2020-02-15,NA,China,31.8257,117.2264,confirmed,16,950
2020-02-16,NA,China,31.8257,117.2264,confirmed,12,962
2020-02-17,NA,China,31.8257,117.2264,confirmed,11,973
2020-02-18,NA,China,31.8257,117.2264,confirmed,9,982
2020-02-19,NA,China,31.8257,117.2264,confirmed,4,986
2020-02-20,NA,China,31.8257,117.2264,confirmed,1,987
2020-02-21,NA,China,31.8257,117.2264,confirmed,1,988
2020-02-22,NA,China,31.8257,117.2264,confirmed,1,989
2020-02-23,NA,China,31.8257,117.2264,confirmed,0,989
2020-02-24,NA,China,31.8257,117.2264,confirmed,0,989
2020-02-25,NA,China,31.8257,117.2264,confirmed,0,989
2020-02-26,NA,China,31.8257,117.2264,confirmed,0,989
2020-02-27,NA,China,31.8257,117.2264,confirmed,0,989
2020-02-28,NA,China,31.8257,117.2264,confirmed,1,990
2020-02-29,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-01,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-02,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-03,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-04,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-05,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-06,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-07,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-08,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-09,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-10,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-11,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-12,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-13,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-14,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-15,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-16,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-17,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-18,NA,China,31.8257,117.2264,confirmed,0,990
2020-03-19,NA,China,31.8257,117.2264,confirmed,0,990
